,player_name,event,event_type,event_date,score
495,niigin,TTN,PVP-S,2020-06-07,0.5
496,hueytw,TTN,PVP-S,2020-06-07,0.2143
497,fanciest,TTN,PVP-S,2020-06-07,0.1429
498,aztaren,TTN,PVP-S,2020-06-07,0.0
499,sparky,TTN,PVP-S,2020-06-07,0.0
500,lumiere,TTN,PVP-S,2020-06-07,0.0
502,taidachan,TTN,PVP-S,2020-06-07,0.0
503,psylun,TTN,PVP-S,2020-06-07,0.0
520,serenity,TTN,PVP-S,2020-06-07,0.6
521,thabombs,TTN,PVP-S,2020-06-07,0.0
522,emissary,TTN,PVP-S,2020-06-07,0.9357
523,cmikaitis,TTN,PVP-S,2020-06-07,0.0
524,greywolf,TTN,PVP-S,2020-06-07,0.2643
525,mongkokkid,TTN,PVP-S,2020-06-07,0.0
526,rooster,TTN,PVP-S,2020-06-07,0.0
527,hburger,TTN,PVP-S,2020-06-07,0.0
528,jayariel,TTN,PVP-S,2020-06-07,0.0
529,gofreo,TTN,PVP-S,2020-06-07,0.0
530,mucephei,TTN,PVP-S,2020-06-07,0.0
531,hobogoblin,TTN,PVP-S,2020-06-07,0.5786
532,timothy,TTN,PVP-S,2020-06-07,0.0
540,madwren,TTN,PVP-S,2020-06-07,1.0
541,zariath,TTN,PVP-S,2020-06-07,1.0
542,nickolas,TTN,PVP-S,2020-06-07,0.9857
543,magicninja1,TTN,PVP-S,2020-06-07,0.9714
544,ggbond,TTN,PVP-S,2020-06-07,1.0
545,larz70,TTN,PVP-S,2020-06-07,0.9286
546,matthew,TTN,PVP-S,2020-06-07,1.0
547,demonious,TTN,PVP-S,2020-06-07,0.9286
548,themorbo,TTN,PVP-S,2020-06-07,0.9286
549,lost4g,TTN,PVP-S,2020-06-07,0.8857
550,magegaga,TTN,PVP-S,2020-06-07,1.0
551,marsdeon,TTN,PVP-S,2020-06-07,1.0
552,shteev,TTN,PVP-S,2020-06-07,1.0
553,lucian,TTN,PVP-S,2020-06-07,0.9285714286
554,operasm,TTN,PVP-S,2020-06-07,1.0
555,gideon,TTN,PVP-S,2020-06-07,0.9857142857
556,d3r3lict,TTN,PVP-S,2020-06-07,1.0
557,nyarlathotep,TTN,PVP-S,2020-06-07,0.8571428571
558,shahper,TTN,PVP-S,2020-06-07,1.0
559,analconda,TTN,PVP-S,2020-06-07,0.9142857143
560,analconda,RTO,PVP-L,2020-05-31,0.9926
561,twister,RTO,PVP-L,2020-05-31,0.9519
562,doktorjadran,RTO,PVP-L,2020-05-31,0.8926
563,valdahsor,RTO,PVP-L,2020-05-31,0.9111
564,oibaf2000,RTO,PVP-L,2020-05-31,0.9519
565,fartingsnail,RTO,PVP-L,2020-05-31,1.0
566,powernic,RTO,PVP-L,2020-05-31,1.0
567,tāotiè,RTO,PVP-L,2020-05-31,0.9333
568,yaanchy,RTO,PVP-L,2020-05-31,0.9667
569,shrek,RTO,PVP-L,2020-05-31,0.9259
570,omi77,RTO,PVP-L,2020-05-31,0.8852
571,zohair,RTO,PVP-L,2020-05-31,0.9852
572,arrowny,RTO,PVP-L,2020-05-31,0.9185
573,edhmage,RTO,PVP-L,2020-05-31,0.9111
574,paleale,RTO,PVP-L,2020-05-31,0.8519
575,arklight,RTO,PVP-L,2020-05-31,0.9593
576,mister20,RTO,PVP-L,2020-05-31,1.0
577,yogsoth,RTO,PVP-L,2020-05-31,1.0
578,abyssian,RTO,PVP-L,2020-05-31,0.7815
579,alfredseet,RTO,PVP-L,2020-05-31,0.9667
